
                                                           CODEBOOK


                                                      Election Study 2001

                                                           CONTENTS

****    General

                 22  Will not vote
                 23  Undecided
                 99  Refuses to answer

              Data type: numeric
              Missing-data code: 25
              Record/columns: 1/106-107

      b16                Respondent vote for PM, if elections were held today

              VALUE  LABEL
                  1  Sharon
                  2  Barak
                  3  Blank
                  4  Will not vote
                  5  Not decided
                  6  Refuses to answer

              Data type: numeric
              Record/column: 1/108

      b17                Reason for not vote

              Data type: numeric
              Record/columns: 1/109-110

      b19                Whom do you expect to win the PM elections?

              VALUE  LABEL
                  1  Sharon
                  2  Barak

              Data type: numeric
              Record/column: 1/111

      b20                Vote in 1999 elections for PM

              VALUE  LABEL
                  1  Netanyahu
                  2  Barak
                  3  Blank
                  4  Will not vote
                  5  Not decided

              Data type: numeric
              Record/column: 1/112

      b21                Vote in 1999 Knesset elections

              VALUE  LABEL
                  1  One Israel
                  2  Likud
                  3  Shas
                  4  Meretz
                  5  Mafdal
                  6  Yahadut HaTora
                  7  Peretz
                  8  Shinui
                  9  Ihud leumi
                 10  Center
                 11  Israel Bealiya
                 12  Israel Beyteinu
                 14  Hadash
                 15  Balad
                 17  United Arab Front
                 18  New arab
                 19  Other
                 20  Blank
                 21  No right to vote
                 22  Did not vote
                 99  Refuses to answer

              Data type: numeric
              Record/columns: 1/113-114

****    Self definition of identity

      b23                Supporter or member of any party

              VALUE  LABEL
                  1  Not a member, do not support
                  2  Support
                  3  Member
                  4  Member unsalaried
                  5  Member salaried

              Data type: numeric
              Record/column: 1/115

      b24                Age

              Data type: numeric
              Record/columns: 1/116-117

      b26                Conduct life according to Religious tradition

              VALUE  LABEL
                  1  Do not observe at all
                  2  Observe some
                  3  Observe most
                  4  Observe all

              Data type: numeric
              Record/column: 1/118

      b27                Self definition of religious identity

              VALUE  LABEL
                  1  Secular
                  2  Traditional
                  3  Religious
                  4  Haredi

              Data type: numeric
              Record/column: 1/119

****    Feeling towards candidates for PM

      b28                Ethnic group (For Arabs only)

              VALUE  LABEL
                  5  Moslem
                  6  Christian
                  7  Druze
                  8  Other

              Data type: numeric
              Record/column: 1/120

      b29                First label to define identity

              VALUE  LABEL
                  1  Israeli
                  2  Jew or Palestinian
                  3  Ethnic group or Arab
                  4  Religious

              Data type: numeric
              Record/column: 1/121

      b30                Second label to define identity

              VALUE  LABEL
                  1  Israeli
                  2  Jew or Palestinian
                  3  Ethnic group or Arab
                  4  Religious

              Data type: numeric
              Record/column: 1/122

      b31                Third label to define identity

              VALUE  LABEL
                  1  Israeli
                  2  Jew or Palestinian
                  3  Ethnic group or Arab
                  4  Religious

              Data type: numeric
              Record/column: 1/123

      b32                Fourth label to define identity

              VALUE  LABEL
                  1  Israeli
                  2  Jew or Palestinian
                  3  Ethnic group or Arab
                  4  Religious

              Data type: numeric
              Record/column: 1/124

      b33                Place of birth

              VALUE  LABEL
                  1  North Africa
                  2  Asia
                  3  Eastern Europe
                  4  West and Central Europe
                  5  America, Australia, South Africa
                  6  Israel Israel
                  7  Israel North Africa
                  8  Israel Asia
                  9  Israel Eastern Europe
                 10  Israel West Central Europe
                 11  Israel America, Australia, South Africa

              Data type: numeric
              Record/columns: 1/125-126

      b35                Year of immigration

              Data type: numeric
